"","neighborhood","building_class_category","tax_class_at_present","building_class_at_present","residential_units","commercial_units","total_units","land_square_feet","gross_square_feet","year_built","tax_class_at_time_of_sale","building_class_at_time_of_sale","sale_price","sale_date","latitude","longitude"
"1125","UPPER EAST SIDE (79-96)","08 RENTALS - ELEVATOR APARTMENTS","2","D1",23,0,23,4103,10906,1960,"2","D1",6562500,2022-04-29,40.77839,-73.95754
"1126","UPPER EAST SIDE (79-96)","08 RENTALS - ELEVATOR APARTMENTS","2","D9",25,0,25,5000,21000,1960,"2","D9",14899261,2021-12-29,40.78054,-73.95072
"1127","UPPER EAST SIDE (79-96)","08 RENTALS - ELEVATOR APARTMENTS","2","D6",163,2,165,10067,164384,2002,"2","D6",128200000,2022-02-01,40.78009,-73.9475
"1128","UPPER EAST SIDE (79-96)","08 RENTALS - ELEVATOR APARTMENTS","2","D7",208,3,211,10071,207037,1998,"2","D7",88425000,2021-12-22,40.78224,-73.94592
"1129","UPPER EAST SIDE (79-96)","08 RENTALS - ELEVATOR APARTMENTS","2","D1",67,1,68,10217,56064,1961,"2","D1",19612500,2022-04-29,40.77286,-73.95042
"1130","UPPER EAST SIDE (79-96)","08 RENTALS - ELEVATOR APARTMENTS","2","D3",17,0,17,2869,11220,1930,"2","D3",11250000,2022-06-30,40.77715,-73.94744
"1131","UPPER EAST SIDE (79-96)","11 SPECIAL CONDO BILLING LOTS","2","RR",61,0,61,0,152022,2018,"2","RR",231825846,2022-03-10,40.77949,-73.95497
"1132","UPPER EAST SIDE (79-96)","14 RENTALS - 4-10 UNIT","2B","S5",6,1,7,1540,5170,1910,"2","S5",16666667,2022-10-11,40.77516,-73.95697
"1133","UPPER EAST SIDE (79-96)","14 RENTALS - 4-10 UNIT","2B","S9",6,2,8,3000,9440,1915,"2","S9",16666667,2022-10-11,40.77524,-73.9572
"1134","UPPER EAST SIDE (79-96)","14 RENTALS - 4-10 UNIT","2B","S5",6,1,7,1850,6000,1910,"2","S5",515714,2022-02-28,40.7773,-73.94877
"1135","UPPER EAST SIDE (79-96)","21 OFFICE BUILDINGS","4","O5",0,6,6,22660,81928,1927,"4","O5",7e+07,2021-12-02,40.78274,-73.94701
"1136","UPPER EAST SIDE (79-96)","21 OFFICE BUILDINGS","4","O2",0,1,1,2554,3176,1952,"4","O2",715000,2021-11-04,40.77307,-73.95075
"1137","UPPER EAST SIDE (79-96)","22 STORE BUILDINGS","4","K9",0,1,1,5739,23085,1930,"4","K9",52500000,2022-06-28,40.78482,-73.95497
"1138","UPPER EAST SIDE (79-96)","22 STORE BUILDINGS","4","K4",1,2,3,1404,3776,1910,"4","K4",4075000,2022-04-20,40.78569,-73.95559
"1139","UPPER EAST SIDE (79-96)","22 STORE BUILDINGS","4","K1",0,5,5,5000,5000,1964,"4","K1",2.1e+07,2021-11-30,40.77919,-73.95435
"1140","UPPER EAST SIDE (79-96)","22 STORE BUILDINGS","4","K2",0,2,2,2596,4745,1915,"4","K2",8500000,2022-07-15,40.77701,-73.95488
"1141","UPPER EAST SIDE (79-96)","22 STORE BUILDINGS","4","K2",0,1,1,2500,4443,1920,"4","K2",4600000,2021-11-24,40.78177,-73.94845
"1142","UPPER EAST SIDE (79-96)","29 COMMERCIAL GARAGES","4","G1",0,1,1,7550,7440,1971,"4","G1",88425000,2021-12-22,40.78248,-73.94559
"1143","UPPER EAST SIDE (79-96)","29 COMMERCIAL GARAGES","4","G2",0,1,1,5035,5794,1915,"4","G2",7e+07,2021-12-02,40.78282,-73.94638
"1144","UPPER EAST SIDE (79-96)","37 RELIGIOUS FACILITIES","4","M3",0,1,1,1611,3308,1915,"4","M3",3500000,2022-01-27,40.78569,-73.95221
"1145","UPPER EAST SIDE (96-110)","08 RENTALS - ELEVATOR APARTMENTS","2","D7",15,4,19,5046,21600,1929,"2","D7",1250000,2022-04-26,40.78717,-73.95347
"1146","UPPER WEST SIDE (59-79)","01 ONE FAMILY DWELLINGS","1","A7",1,0,1,2248,7959,1910,"1","A7",22250000,2022-07-18,40.7793,-73.97571
"1147","UPPER WEST SIDE (59-79)","01 ONE FAMILY DWELLINGS","1","A4",1,0,1,2043,5780,1910,"1","A4",8700000,2022-09-28,40.77872,-73.98028
"1148","UPPER WEST SIDE (59-79)","01 ONE FAMILY DWELLINGS","1","A4",1,0,1,1474,3326,1910,"1","A4",10,2022-07-19,40.77907,-73.98436
"1149","UPPER WEST SIDE (59-79)","01 ONE FAMILY DWELLINGS","1","A5",1,0,1,2043,4666,1900,"1","A5",6900000,2021-12-20,40.78128,-73.98242
"1150","UPPER WEST SIDE (59-79)","01 ONE FAMILY DWELLINGS","1","A4",1,0,1,1839,5595,1916,"1","A4",7625000,2022-07-22,40.78389,-73.98266
"1151","UPPER WEST SIDE (59-79)","01 ONE FAMILY DWELLINGS","1","A4",1,0,1,1400,2490,1901,"1","A4",6332219,2022-08-10,40.78409,-73.98173
"1152","UPPER WEST SIDE (59-79)","02 TWO FAMILY DWELLINGS","1","B1",2,0,2,2051,5989,1901,"1","B1",8150000,2022-06-09,40.78133,-73.97757
"1153","UPPER WEST SIDE (59-79)","02 TWO FAMILY DWELLINGS","1","S2",2,1,3,1839,6207,1910,"1","S2",5e+06,2022-01-31,40.78333,-73.97946
"1154","UPPER WEST SIDE (59-79)","07 RENTALS - WALKUP APARTMENTS","2","C5",20,0,20,3013,11440,1910,"2","C5",475000,2022-07-27,40.77232,-73.98101
"1155","UPPER WEST SIDE (59-79)","07 RENTALS - WALKUP APARTMENTS","2","C5",20,0,20,3013,11440,1910,"2","C5",5e+05,2022-01-20,40.77232,-73.98101
"1156","UPPER WEST SIDE (59-79)","07 RENTALS - WALKUP APARTMENTS","2","C5",20,0,20,3013,11440,1910,"2","C5",525000,2022-03-31,40.77232,-73.98101
"1157","UPPER WEST SIDE (59-79)","07 RENTALS - WALKUP APARTMENTS","2","C7",16,5,21,3013,13525,1900,"2","C7",60500000,2021-11-09,40.77485,-73.98037
"1158","UPPER WEST SIDE (59-79)","07 RENTALS - WALKUP APARTMENTS","2","C7",11,1,12,2008,9465,1910,"2","C7",60500000,2021-11-09,40.7749,-73.98026
"1159","UPPER WEST SIDE (59-79)","07 RENTALS - WALKUP APARTMENTS","2B","C5",9,0,9,1808,6831,1910,"2","C5",6e+06,2022-01-10,40.77483,-73.98023
"1160","UPPER WEST SIDE (59-79)","07 RENTALS - WALKUP APARTMENTS","2","C7",15,2,17,3515,13220,1910,"2","C7",60500000,2021-11-09,40.77515,-73.9799
"1161","UPPER WEST SIDE (59-79)","07 RENTALS - WALKUP APARTMENTS","2","C7",10,2,12,3514,13445,1910,"2","C7",60500000,2021-11-09,40.77515,-73.97995
"1162","UPPER WEST SIDE (59-79)","07 RENTALS - WALKUP APARTMENTS","2","C7",7,5,12,3013,12905,1910,"2","C7",60500000,2021-11-09,40.77532,-73.98002
"1163","UPPER WEST SIDE (59-79)","07 RENTALS - WALKUP APARTMENTS","2B","C5",10,0,10,2008,6248,1910,"2","C5",6075000,2021-12-02,40.77601,-73.979
"1164","UPPER WEST SIDE (59-79)","07 RENTALS - WALKUP APARTMENTS","2B","C5",10,0,10,2008,6300,1910,"2","C5",6075000,2021-12-02,40.77604,-73.97907
"1165","UPPER WEST SIDE (59-79)","07 RENTALS - WALKUP APARTMENTS","2B","C5",10,0,10,1839,5235,1910,"2","C5",2500000,2022-10-19,40.77644,-73.97818
"1166","UPPER WEST SIDE (59-79)","07 RENTALS - WALKUP APARTMENTS","2B","C5",10,0,10,2043,7174,1900,"2","C5",7300000,2022-05-13,40.77869,-73.9764
"1167","UPPER WEST SIDE (59-79)","07 RENTALS - WALKUP APARTMENTS","2B","C5",10,0,10,2248,7124,1900,"2","C5",4700000,2022-05-13,40.77894,-73.97687
"1168","UPPER WEST SIDE (59-79)","07 RENTALS - WALKUP APARTMENTS","2","C7",16,2,18,3200,12830,1900,"2","C7",25100000,2021-11-09,40.77514,-73.98082
"1169","UPPER WEST SIDE (59-79)","07 RENTALS - WALKUP APARTMENTS","2","C7",16,2,18,3200,12830,1900,"2","C7",25100000,2021-11-09,40.7752,-73.98069
"1170","UPPER WEST SIDE (59-79)","07 RENTALS - WALKUP APARTMENTS","2B","C5",10,0,10,2350,7155,1910,"2","C5",4950000,2022-07-20,40.77955,-73.97926
"1171","UPPER WEST SIDE (59-79)","07 RENTALS - WALKUP APARTMENTS","2B","C5",10,0,10,2043,4400,1910,"2","C5",3005000,2021-11-30,40.77996,-73.97734
"1172","UPPER WEST SIDE (59-79)","07 RENTALS - WALKUP APARTMENTS","2B","C5",10,0,10,2043,6674,1900,"2","C5",1575313,2021-12-09,40.78044,-73.97854
"1173","UPPER WEST SIDE (59-79)","07 RENTALS - WALKUP APARTMENTS","2B","C5",10,0,10,2090,5980,1900,"2","C5",4250000,2022-06-22,40.78104,-73.97688
"1174","UPPER WEST SIDE (59-79)","07 RENTALS - WALKUP APARTMENTS","2B","C1",8,0,8,2000,3384,1900,"2","C1",3800000,2022-06-01,40.77878,-73.98464
"1175","UPPER WEST SIDE (59-79)","07 RENTALS - WALKUP APARTMENTS","2","C5",20,0,20,1600,5360,1900,"2","C5",8e+05,2022-10-20,40.77881,-73.98471
"1176","UPPER WEST SIDE (59-79)","07 RENTALS - WALKUP APARTMENTS","2B","C1",8,0,8,2100,5368,1901,"2","C1",6500000,2022-05-13,40.7804,-73.9825
"1177","UPPER WEST SIDE (59-79)","07 RENTALS - WALKUP APARTMENTS","2B","C5",8,1,9,1938,6148,1900,"2","C5",1800000,2022-05-13,40.78052,-73.98262
"1178","UPPER WEST SIDE (59-79)","07 RENTALS - WALKUP APARTMENTS","2","C1",11,0,11,2074,8160,1900,"2","C1",4e+06,2021-12-20,40.78215,-73.98454
"1179","UPPER WEST SIDE (59-79)","07 RENTALS - WALKUP APARTMENTS","2B","C1",10,0,10,2554,9665,1910,"2","C1",4450000,2021-12-21,40.7825,-73.98349
"1180","UPPER WEST SIDE (59-79)","07 RENTALS - WALKUP APARTMENTS","2A","C2",5,0,5,2043,5400,1900,"2","C2",5025000,2022-03-07,40.78324,-73.98318
"1181","UPPER WEST SIDE (59-79)","08 RENTALS - ELEVATOR APARTMENTS","2","D7",60,4,64,6850,48606,1900,"2","D7",725000,2022-02-23,40.77645,-73.98184
"1182","UPPER WEST SIDE (59-79)","08 RENTALS - ELEVATOR APARTMENTS","2","D7",54,2,56,8137,31125,1910,"2","D7",26400000,2022-10-14,40.78114,-73.97644
"1183","UPPER WEST SIDE (59-79)","08 RENTALS - ELEVATOR APARTMENTS","2","D6",37,2,39,6692,40050,1922,"2","D6",33100000,2022-05-13,40.78069,-73.98283
"1184","UPPER WEST SIDE (59-79)","08 RENTALS - ELEVATOR APARTMENTS","2","D6",455,4,459,43964,524466,1999,"2","D6",4.15e+08,2022-07-14,40.7776,-73.98847
"1185","UPPER WEST SIDE (59-79)","08 RENTALS - ELEVATOR APARTMENTS","2","D8",354,5,359,30462,367786,2002,"2","D8",265650000,2022-04-07,40.77709,-73.98878
"1186","UPPER WEST SIDE (59-79)","08 RENTALS - ELEVATOR APARTMENTS","2","D1",19,0,19,1950,7694,1920,"2","D1",5200000,2021-12-02,40.78168,-73.9845
"1187","UPPER WEST SIDE (59-79)","14 RENTALS - 4-10 UNIT","2B","S9",6,2,8,2384,7755,1910,"2","S9",5360000,2021-12-30,40.77825,-73.98151
"1188","UPPER WEST SIDE (59-79)","14 RENTALS - 4-10 UNIT","2A","S5",5,1,6,1941,5225,1910,"2","S5",5400000,2021-11-22,40.77808,-73.97874
"1189","UPPER WEST SIDE (59-79)","14 RENTALS - 4-10 UNIT","2A","S9",4,2,6,2350,7810,1900,"2","S9",6865000,2022-02-04,40.77936,-73.9828
"1190","UPPER WEST SIDE (59-79)","14 RENTALS - 4-10 UNIT","2A","S5",5,1,6,1737,5545,1925,"2","S5",5100000,2021-11-16,40.78336,-73.97957
"1191","UPPER WEST SIDE (59-79)","22 STORE BUILDINGS","4","K4",0,4,4,1890,5740,1926,"4","K4",5800018,2022-05-03,40.77822,-73.98023
"1192","UPPER WEST SIDE (59-79)","26 OTHER HOTELS","4","HR",0,1,1,6543,34312,1900,"4","HR",6700000,2022-09-16,40.77956,-73.98665
"1193","UPPER WEST SIDE (59-79)","34 THEATRES","4","J6",0,1,1,15075,133835,1991,"4","J6",9.31e+08,2022-03-18,40.77361,-73.98104
"1194","UPPER WEST SIDE (59-79)","34 THEATRES","4","J6",0,1,1,27575,287822,1988,"4","J6",9.31e+08,2022-03-18,40.77335,-73.98074
"1195","UPPER WEST SIDE (59-79)","34 THEATRES","4","J6",0,1,1,47698,347053,1985,"4","J6",9.31e+08,2022-03-18,40.77324,-73.98003
"1196","UPPER WEST SIDE (59-79)","34 THEATRES","4","J6",0,1,1,10042,129885,1978,"4","J6",9.31e+08,2022-03-18,40.77364,-73.97997
"1197","UPPER WEST SIDE (59-79)","34 THEATRES","4","J6",0,1,1,15059,99769,1978,"4","J6",9.31e+08,2022-03-18,40.77395,-73.9807
"1198","UPPER WEST SIDE (59-79)","34 THEATRES","4","J6",0,1,1,7560,8300,1930,"4","J6",19300000,2022-02-17,40.77135,-73.98919
"1199","UPPER WEST SIDE (79-96)","01 ONE FAMILY DWELLINGS","1","A4",1,0,1,1919,4708,1890,"1","A4",12300000,2022-05-04,40.78424,-73.97243
"1200","UPPER WEST SIDE (79-96)","01 ONE FAMILY DWELLINGS","1","A4",1,0,1,1915,5476,1890,"1","A4",11200000,2022-08-25,40.78441,-73.97086
"1201","UPPER WEST SIDE (79-96)","01 ONE FAMILY DWELLINGS","1","A5",1,0,1,2000,9115,1901,"1","A5",2.6e+07,2022-03-11,40.7846,-73.97026
"1202","UPPER WEST SIDE (79-96)","01 ONE FAMILY DWELLINGS","1","A4",1,0,1,2146,6168,1900,"1","A4",18300000,2022-01-27,40.78493,-73.971
"1203","UPPER WEST SIDE (79-96)","01 ONE FAMILY DWELLINGS","1","A9",1,0,1,1616,4623,1901,"1","A9",5167500,2022-01-13,40.78687,-73.97138
"1204","UPPER WEST SIDE (79-96)","01 ONE FAMILY DWELLINGS","1","A4",1,0,1,1812,4017,1901,"1","A4",9173800,2022-10-17,40.78744,-73.97284
"1205","UPPER WEST SIDE (79-96)","01 ONE FAMILY DWELLINGS","1","A5",1,0,1,1812,3840,1920,"1","A5",6950000,2022-06-30,40.79133,-73.97521
"1206","UPPER WEST SIDE (79-96)","01 ONE FAMILY DWELLINGS","1","A4",1,0,1,1839,4104,1910,"1","A4",4353375,2022-09-19,40.78803,-73.98037
"1207","UPPER WEST SIDE (79-96)","02 TWO FAMILY DWELLINGS","1","B1",2,0,2,1660,3347,1910,"1","B1",5500000,2022-07-29,40.79173,-73.96651
"1208","UPPER WEST SIDE (79-96)","02 TWO FAMILY DWELLINGS","1","B1",2,0,2,1678,4928,1900,"1","B1",7500000,2022-05-13,40.78753,-73.97209
"1209","UPPER WEST SIDE (79-96)","02 TWO FAMILY DWELLINGS","1","B1",2,0,2,1678,3400,1901,"1","B1",5750000,2022-08-25,40.7889,-73.97328
"1210","UPPER WEST SIDE (79-96)","02 TWO FAMILY DWELLINGS","1","B3",2,0,2,1711,4172,1901,"1","B3",4400000,2022-01-21,40.79067,-73.97187
"1211","UPPER WEST SIDE (79-96)","02 TWO FAMILY DWELLINGS","1","B3",2,0,2,1717,3979,1901,"1","B3",3098250,2022-08-24,40.79248,-73.96935
"1212","UPPER WEST SIDE (79-96)","02 TWO FAMILY DWELLINGS","1","B3",2,0,2,1717,3979,1901,"1","B3",4291506,2022-05-13,40.79248,-73.96935
"1213","UPPER WEST SIDE (79-96)","02 TWO FAMILY DWELLINGS","1","B9",2,0,2,1839,4104,1910,"1","B9",4250000,2022-10-14,40.788,-73.98045
"1214","UPPER WEST SIDE (79-96)","02 TWO FAMILY DWELLINGS","1","B3",2,0,2,2034,4320,1910,"1","B3",4495000,2022-09-07,40.78807,-73.98049
"1215","UPPER WEST SIDE (79-96)","03 THREE FAMILY DWELLINGS","1","C0",3,0,3,2013,5334,1900,"1","C0",4500000,2022-09-12,40.79013,-73.96857
"1216","UPPER WEST SIDE (79-96)","03 THREE FAMILY DWELLINGS","1","C0",3,0,3,1736,5347,1899,"1","C0",7825000,2022-08-09,40.78854,-73.98056
"1217","UPPER WEST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","2B","C5",10,0,10,2145,7348,1901,"2","C5",4500000,2022-06-28,40.78289,-73.97213
"1218","UPPER WEST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","2A","C2",5,0,5,1703,5070,1900,"2","C2",4425000,2022-08-04,40.78443,-73.97284
"1219","UPPER WEST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","2","C5",20,0,20,2605,10610,1910,"2","C5",375000,2022-03-07,40.78468,-73.97168
"1220","UPPER WEST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","2","C5",20,0,20,2605,10610,1910,"2","C5",370000,2022-03-14,40.78468,-73.97168
"1221","UPPER WEST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","2B","C5",10,0,10,2013,6094,1900,"2","C5",5800000,2021-12-14,40.78727,-73.97035
"1222","UPPER WEST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","2B","C5",8,0,8,2012,5782,1900,"2","C5",5300000,2022-06-29,40.78724,-73.97046
"1223","UPPER WEST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","2B","C5",10,0,10,1913,6146,1930,"2","C5",3800000,2021-12-01,40.788,-73.96834
"1224","UPPER WEST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","2B","C5",9,0,9,2012,5870,1900,"2","C5",4650000,2022-10-24,40.78914,-73.96901
"1225","UPPER WEST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","2B","C5",8,0,8,1678,4847,1900,"2","C5",3855000,2022-06-30,40.7888,-73.96913
"1226","UPPER WEST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","2B","C5",8,0,8,1788,4000,1900,"2","C5",3e+06,2021-11-22,40.7847,-73.97551
"1227","UPPER WEST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","2","C5",20,1,21,2554,9905,1900,"2","C5",2295000,2022-02-09,40.78466,-73.97449
"1228","UPPER WEST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","2B","C5",8,1,9,1677,3740,1900,"2","C5",4550000,2021-12-15,40.78504,-73.97625
"1229","UPPER WEST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","2","C5",20,0,20,3462,11880,1900,"2","C5",6750000,2022-08-23,40.78689,-73.97477
"1230","UPPER WEST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","2B","C5",8,0,8,1915,4260,1910,"2","C5",4350000,2022-09-13,40.78696,-73.97494
"1231","UPPER WEST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","2B","C5",10,0,10,2013,6190,1910,"2","C5",2300000,2021-12-01,40.78761,-73.97329
"1232","UPPER WEST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","2A","C3",4,0,4,1678,3376,1900,"2","C3",4350000,2022-05-20,40.78793,-73.97298
"1233","UPPER WEST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","2A","C2",5,0,5,1460,2992,1900,"2","C2",2500000,2022-03-28,40.79288,-73.96919
"1234","UPPER WEST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","2B","C1",10,0,10,1839,7120,1900,"2","C1",9500000,2022-02-25,40.7842,-73.97815
"1235","UPPER WEST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","2","C7",13,1,14,2700,11820,1910,"2","C7",35500000,2021-11-09,40.78543,-73.97697
"1236","UPPER WEST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","2","C7",13,2,15,2750,11820,1910,"2","C7",35500000,2021-11-09,40.78551,-73.97692
"1237","UPPER WEST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","2A","C2",6,0,6,1880,5600,1900,"2","C2",35500000,2021-11-09,40.78571,-73.97682
"1238","UPPER WEST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","2A","C2",6,0,6,1880,6420,1900,"2","C2",35500000,2021-11-09,40.78572,-73.97688
"1239","UPPER WEST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","2B","C4",6,2,8,1829,11205,1900,"2","C4",35500000,2021-11-09,40.78578,-73.977
"1240","UPPER WEST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","2B","C7",7,2,9,1650,5256,1900,"2","C7",35500000,2021-11-09,40.78581,-73.97707
"1241","UPPER WEST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","2","C7",12,4,16,2603,9902,1900,"2","C7",35500000,2021-11-09,40.78572,-73.97671
"1242","UPPER WEST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","2B","C7",8,1,9,1880,5080,1900,"2","C7",35500000,2021-11-09,40.78575,-73.97695
"1243","UPPER WEST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","2B","C5",9,0,9,1812,4980,1900,"2","C5",2750000,2021-12-01,40.79168,-73.97509
"1244","UPPER WEST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","2A","C5",6,0,6,1800,5705,1900,"2","C5",4875000,2022-01-28,40.79167,-73.97516
"1245","UPPER WEST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","2","C1",13,0,13,1437,7250,1900,"2","C1",3e+06,2021-12-01,40.79185,-73.97545
"1246","UPPER WEST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","2","C5",11,0,11,2525,5279,1900,"2","C5",5275000,2021-12-15,40.79193,-73.9749
"1247","UPPER WEST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","2B","C5",8,0,8,2323,6605,1900,"2","C5",4300000,2022-04-07,40.78676,-73.97977
"1248","UPPER WEST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","2B","C5",9,0,9,1812,4822,1900,"2","C5",4500000,2022-06-27,40.7906,-73.9784
"1249","UPPER WEST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","2B","C1",10,0,10,2114,7350,1900,"2","C1",3535000,2022-01-06,40.79073,-73.97874
"1250","UPPER WEST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","2B","C1",9,0,9,2014,6096,1900,"2","C1",10,2021-12-29,40.79148,-73.97659
"1251","UPPER WEST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","2","C1",13,0,13,1775,6701,1900,"2","C1",10,2021-12-29,40.79301,-73.97534
"1252","UPPER WEST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","2","C1",14,0,14,1775,6859,1900,"2","C1",10,2021-12-29,40.79296,-73.97527
"1253","UPPER WEST SIDE (79-96)","08 RENTALS - ELEVATOR APARTMENTS","2","D7",86,5,91,13250,132975,1925,"2","D7",6e+07,2022-03-02,40.79248,-73.97394
"1254","UPPER WEST SIDE (79-96)","08 RENTALS - ELEVATOR APARTMENTS","2","D9",60,0,60,4625,69000,2001,"2","D9",2.66e+08,2022-04-20,40.79379,-73.97293
"1255","UPPER WEST SIDE (79-96)","08 RENTALS - ELEVATOR APARTMENTS","2","D6",285,10,295,20500,307500,1999,"2","D6",2.66e+08,2022-04-20,40.79377,-73.97284
"1256","UPPER WEST SIDE (79-96)","08 RENTALS - ELEVATOR APARTMENTS","2","D6",133,3,136,14250,198375,1929,"2","D6",9e+07,2022-05-09,40.78664,-73.98094
"1257","UPPER WEST SIDE (79-96)","08 RENTALS - ELEVATOR APARTMENTS","2","D3",39,0,39,7125,48178,1930,"2","D3",17118000,2022-05-12,40.79528,-73.97573
"1258","UPPER WEST SIDE (79-96)","21 OFFICE BUILDINGS","4","O8",1,1,2,1710,4152,1910,"4","O8",4e+06,2022-09-13,40.79216,-73.96942
"1259","UPPER WEST SIDE (79-96)","22 STORE BUILDINGS","4","K2",0,1,1,2518,3750,1910,"4","K2",16100000,2021-12-16,40.79482,-73.97274
"1260","UPPER WEST SIDE (79-96)","25 LUXURY HOTELS","4","H2",0,216,216,12771,133229,1923,"4","H2",79750000,2021-12-16,40.78316,-73.97371
"1261","UPPER WEST SIDE (79-96)","38 ASYLUMS AND HOMES","4","N2",0,1,1,20150,237507,1927,"4","N2",1.68e+08,2021-12-22,40.79472,-73.97322
"1262","UPPER WEST SIDE (96-116)","07 RENTALS - WALKUP APARTMENTS","2","C4",15,0,15,2522,9750,1910,"2","C4",7500000,2022-09-22,40.80196,-73.96383
"1263","UPPER WEST SIDE (96-116)","07 RENTALS - WALKUP APARTMENTS","2","C4",15,0,15,2522,9750,1910,"2","C4",7500000,2022-09-22,40.80198,-73.96393
"1264","UPPER WEST SIDE (96-116)","07 RENTALS - WALKUP APARTMENTS","2B","C4",10,0,10,2523,9485,1910,"2","C4",5800000,2022-05-23,40.8025,-73.96684
"1265","UPPER WEST SIDE (96-116)","07 RENTALS - WALKUP APARTMENTS","2","C4",25,0,25,3784,14754,1910,"2","C4",7e+06,2022-09-21,40.80291,-73.96517
"1266","UPPER WEST SIDE (96-116)","07 RENTALS - WALKUP APARTMENTS","2B","C5",7,0,7,1817,4224,1910,"2","C5",1837000,2021-11-15,40.7967,-73.97312
"1267","UPPER WEST SIDE (96-116)","07 RENTALS - WALKUP APARTMENTS","2B","C5",10,0,10,1917,6570,1910,"2","C5",10,2021-12-29,40.79828,-73.9721
"1268","UPPER WEST SIDE (96-116)","07 RENTALS - WALKUP APARTMENTS","2B","C5",10,0,10,1917,6940,1910,"2","C5",10,2021-12-29,40.79836,-73.97203
"1269","UPPER WEST SIDE (96-116)","07 RENTALS - WALKUP APARTMENTS","2B","C4",8,0,8,2018,6395,1910,"2","C4",10,2021-12-29,40.79934,-73.97141
"1270","UPPER WEST SIDE (96-116)","07 RENTALS - WALKUP APARTMENTS","2B","C5",10,0,10,2018,6870,1910,"2","C5",10,2021-12-29,40.79839,-73.97218
"1271","UPPER WEST SIDE (96-116)","08 RENTALS - ELEVATOR APARTMENTS","2","D6",95,6,101,12615,135463,1915,"2","D6",50750000,2022-06-30,40.79534,-73.97264
"1272","UPPER WEST SIDE (96-116)","08 RENTALS - ELEVATOR APARTMENTS","2","D7",23,3,26,6000,32900,1910,"2","D7",15500000,2022-02-28,40.79772,-73.97006
"1273","UPPER WEST SIDE (96-116)","08 RENTALS - ELEVATOR APARTMENTS","2","D6",81,8,89,12683,95400,1907,"2","D6",3.6e+07,2021-11-03,40.79778,-73.96901
"1274","UPPER WEST SIDE (96-116)","08 RENTALS - ELEVATOR APARTMENTS","2","D9",17,0,17,2523,9960,1925,"2","D9",10,2022-03-08,40.80195,-73.96999
"1275","UPPER WEST SIDE (96-116)","26 OTHER HOTELS","4","H3",0,1,1,5046,26334,1925,"4","H3",1.1e+07,2022-01-31,40.79551,-73.9723
"1276","UPPER WEST SIDE (96-116)","26 OTHER HOTELS","4","H3",0,4,4,6000,36730,1910,"4","H3",15500000,2021-11-17,40.79782,-73.96994
"1277","UPPER WEST SIDE (96-116)","26 OTHER HOTELS","4","H3",0,5,5,3531,15290,1925,"4","H3",51182397,2022-08-10,40.79889,-73.96835
"1278","UPPER WEST SIDE (96-116)","26 OTHER HOTELS","4","H3",0,2,2,3628,13952,1925,"4","H3",51182397,2022-08-10,40.79879,-73.96843
"1279","UPPER WEST SIDE (96-116)","26 OTHER HOTELS","4","H3",0,3,3,3628,13952,1925,"4","H3",51182397,2022-08-10,40.79867,-73.96833
"1280","UPPER WEST SIDE (96-116)","26 OTHER HOTELS","4","H6",0,1,1,8831,36580,1924,"4","H6",25700000,2022-02-07,40.80604,-73.96659
