"","neighborhood","building_class_category","tax_class_at_present","building_class_at_present","residential_units","commercial_units","total_units","land_square_feet","gross_square_feet","year_built","tax_class_at_time_of_sale","building_class_at_time_of_sale","sale_price","sale_date","latitude","longitude"
"855","SOHO","22 STORE BUILDINGS","4","K2",0,1,1,3349,6664,1910,"4","K2",25385186,2022-10-14,40.72102,-74.0001
"856","SOHO","22 STORE BUILDINGS","4","K4",1,1,2,9932,55015,1900,"4","K4",17100000,2022-01-13,40.72137,-73.9999
"857","SOHO","22 STORE BUILDINGS","4","K1",0,1,1,1202,1800,1920,"4","K1",7300000,2021-12-15,40.72153,-74.00142
"858","SOHO","22 STORE BUILDINGS","4","K4",1,4,5,3863,16900,1872,"4","K4",17500000,2022-01-27,40.72421,-74.00254
"859","SOHO","22 STORE BUILDINGS","4","K4",0,3,3,2500,12400,1915,"4","K4",10500000,2022-03-23,40.72522,-74.00378
"860","SOHO","22 STORE BUILDINGS","4","K4",0,2,2,2499,9339,1910,"4","K4",31500000,2022-10-20,40.72433,-73.9997
"861","SOHO","22 STORE BUILDINGS","4","K4",2,2,4,1889,5250,1900,"4","K4",5300000,2022-02-22,40.72525,-74.00151
"862","SOHO","22 STORE BUILDINGS","4","K1",0,1,1,2300,2500,1900,"4","K1",2550000,2022-04-29,40.72573,-73.99951
"863","SOHO","30 WAREHOUSES","4","E1",0,1,1,2726,2755,1920,"4","E1",1.3e+07,2022-01-14,40.72296,-74.00396
"864","SOHO","30 WAREHOUSES","4","E7",0,19,19,25460,281387,1924,"4","E7",367700000,2021-12-16,40.72527,-74.00623
"865","SOHO","30 WAREHOUSES","4","E7",0,1,1,17555,164791,1922,"4","E7",200500000,2021-12-16,40.72677,-74.00575
"866","SOUTHBRIDGE","01 ONE FAMILY DWELLINGS","1","A4",1,0,1,477,1900,1998,"1","A4",3500000,2022-02-03,40.70747,-74.0028
"867","SOUTHBRIDGE","07 RENTALS - WALKUP APARTMENTS","2B","C7",8,1,9,3019,12585,1900,"2","C7",1218500,2022-10-24,40.70877,-74.00139
"868","SOUTHBRIDGE","07 RENTALS - WALKUP APARTMENTS","2B","C7",8,1,9,3019,12585,1900,"2","C7",1425000,2022-06-02,40.70877,-74.00139
"869","SOUTHBRIDGE","08 RENTALS - ELEVATOR APARTMENTS","2","D7",20,4,24,5866,25903,1900,"2","D7",24500000,2022-01-25,40.70824,-74.00161
"870","SOUTHBRIDGE","11 SPECIAL CONDO BILLING LOTS","2","RR",899,0,899,0,773169,2007,"2","RR",9.3e+08,2022-06-15,40.71109,-74.00564
"871","SOUTHBRIDGE","14 RENTALS - 4-10 UNIT","2A","S9",4,2,6,2127,10635,1900,"2","S9",8650000,2022-03-09,40.7082,-74.00148
"872","SOUTHBRIDGE","22 STORE BUILDINGS","4","K4",0,2,2,1258,4420,1830,"4","K4",4e+06,2021-12-30,40.7069,-74.0022
"873","SOUTHBRIDGE","22 STORE BUILDINGS","4","K4",0,1,1,1250,4420,1830,"4","K4",4e+06,2021-12-30,40.70736,-74.00145
"874","SOUTHBRIDGE","22 STORE BUILDINGS","4","K4",0,2,2,1641,5653,1920,"4","K4",3300000,2021-12-15,40.70865,-74.00084
"875","TRIBECA","01 ONE FAMILY DWELLINGS","1","A7",1,0,1,1350,5300,1915,"1","A7",9995000,2022-02-22,40.71669,-74.00992
"876","TRIBECA","01 ONE FAMILY DWELLINGS","1","A9",1,0,1,1591,2643,1940,"1","A9",6750000,2022-05-19,40.71864,-74.01072
"877","TRIBECA","01 ONE FAMILY DWELLINGS","1","A9",1,0,1,971,2079,1960,"1","A9",5150000,2021-11-10,40.71872,-74.01094
"878","TRIBECA","01 ONE FAMILY DWELLINGS","1","A9",1,0,1,1360,4083,1940,"1","A9",2e+07,2022-08-25,40.71811,-74.00956
"879","TRIBECA","01 ONE FAMILY DWELLINGS","1","A5",1,0,1,624,3125,1900,"1","A5",4150000,2022-06-07,40.72133,-74.00957
"880","TRIBECA","07 RENTALS - WALKUP APARTMENTS","2B","C7",9,1,10,1857,9214,1901,"2","C7",1225000,2022-08-18,40.71954,-74.00952
"881","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",1270000,2022-09-20,40.71674,-74.0161
"882","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",830000,2022-08-25,40.71674,-74.0161
"883","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",875000,2022-09-22,40.71674,-74.0161
"884","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",1600000,2022-09-12,40.71674,-74.0161
"885","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",1236400,2022-09-12,40.71674,-74.0161
"886","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",2476240,2022-09-14,40.71674,-74.0161
"887","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",910000,2022-08-26,40.71674,-74.0161
"888","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",1625000,2022-10-03,40.71674,-74.0161
"889","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",1305000,2022-09-19,40.71674,-74.0161
"890","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",1540000,2022-09-16,40.71674,-74.0161
"891","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",2736000,2022-09-23,40.71674,-74.0161
"892","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",1375000,2022-10-14,40.71674,-74.0161
"893","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",1782000,2022-09-14,40.71674,-74.0161
"894","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",1187500,2022-09-22,40.71674,-74.0161
"895","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",1360000,2022-09-23,40.71674,-74.0161
"896","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",803880,2022-09-15,40.71674,-74.0161
"897","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",2481600,2022-08-30,40.71674,-74.0161
"898","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",1315600,2022-09-14,40.71674,-74.0161
"899","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",1289200,2022-09-14,40.71674,-74.0161
"900","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",2811600,2022-09-26,40.71674,-74.0161
"901","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",2697200,2022-09-13,40.71674,-74.0161
"902","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",1395000,2022-08-25,40.71674,-74.0161
"903","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",1172160,2022-10-11,40.71674,-74.0161
"904","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",1360000,2022-08-22,40.71674,-74.0161
"905","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",3e+06,2022-10-26,40.71674,-74.0161
"906","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",1095000,2022-09-14,40.71674,-74.0161
"907","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",1315600,2022-09-12,40.71674,-74.0161
"908","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",1397880,2022-09-16,40.71674,-74.0161
